x,T
0.0201,285.64
0.0213204,285.773
0.0225408,285.776
0.0237612,285.759
0.0249816,285.741
0.026202,285.723
0.0274224,285.706
0.0286429,285.695
0.0298633,285.683
0.0310837,285.672
0.0323041,285.668
0.0335245,285.664
0.0347449,285.66
0.0359653,285.656
0.0371857,285.655
0.0384061,285.654
0.0396265,285.653
0.0408469,285.652
0.0420673,285.651
0.0432878,285.651
0.0445082,285.651
0.0457286,285.65
0.046949,285.65
0.0481694,285.65
0.0493898,285.65
0.0506102,285.65
0.0518306,285.65
0.053051,285.65
0.0542714,285.65
0.0554918,285.65
0.0567122,285.65
0.0579327,285.65
0.0591531,285.65
0.0603735,285.649
0.0615939,285.649
0.0628143,285.649
0.0640347,285.649
0.0652551,285.649
0.0664755,285.65
0.0676959,285.65
0.0689163,285.651
0.0701367,285.655
0.0713571,285.659
0.0725776,285.663
0.073798,285.67
0.0750184,285.679
0.0762388,285.688
0.0774592,285.705
0.0786796,285.743
0.0799,285.819
